,Avg Filter HL,Avg Noise HL,Improv HL
P113,0.2836514350411573,0.5835506427731881,51.39
P114,0.2911748183138893,0.6091595780826728,52.2
P115,0.3261052962687403,0.367867166573162,11.35
P116,0.37328226262794906,0.4523375558513226,17.48
P117,0.26208589456687015,0.6235604951544564,57.97
P118,0.3886142451633544,0.8258106722436367,52.94
P119,0.29757357164073195,0.5887147941594446,49.45
P120,0.3331788989847675,0.5919257177345771,43.71
P122,0.2668977858775786,0.38053586348137725,29.86
P123,0.28517159669141756,0.6799798916624196,58.06
P124,0.13218396369691648,0.5660690649205792,76.65
P125,0.29735766303003874,0.6400497324451232,53.54
P127,0.36380674634467014,0.7656772647187385,52.49
P128,0.3078079124602535,0.5679989599258521,45.81
P129,0.4447429957937879,0.6583718929976414,32.45
P130,0.28377014940345696,0.34486371707031815,17.72
P131,0.39479157645393964,0.7069584886499838,44.16
P132,0.0412804816035877,0.0532029688449238,22.41
P133,0.3247927826895052,0.8247771545040692,60.62
P134,0.2550146507683242,0.33319210750975614,23.46
P135,0.33145083996589686,0.7772606467362531,57.36
P136,0.3380812325870636,0.8088592925613147,58.2
P137,0.1247103653311532,0.15869429471426644,21.41
P138,0.021148030471912844,0.1803568144762316,88.27
P139,0.2750782007221171,0.5450747814590131,49.53
P141,0.3914732854661671,0.6704203354821894,41.61
P144,0.4517231871058346,0.5809613577589193,22.25
P145,0.5063238112984217,0.7163950189475803,29.32
P146,0.14677294144184896,0.15858535258454556,7.45
P147,0.19032059550624955,0.5494215985077071,65.36
P148,0.3090603639526277,0.6749514829578956,54.21
P149,0.4495131830024962,0.7868980681138906,42.88
P150,0.4093088999671255,0.7819250927324166,47.65
P152,0.16443923643365904,0.3616559479809381,54.53
P153,0.34967777390653343,0.6011500152854534,41.83
P154,0.36646438759023214,0.6235512046728501,41.23
P155,0.3611590590398248,0.42896714145911796,15.81
P156,0.10351589686771208,0.35118646136861575,70.52
P157,0.345542088800738,0.7466015957669162,53.72
P158,0.3957549449312114,0.7692532731488946,48.55
P159,0.4386234034677773,0.7817222780084062,43.89
P160,0.3512880609889961,0.7079759962543368,50.38
P161,0.4460907907716757,0.7692803044114511,42.01
P162,0.25967673515802914,0.6242909933527849,58.4
P163,0.21439880906441497,0.251634406048198,14.8
P164,0.17307038548358628,0.5645807896078028,69.35
P167,0.21350985193725278,0.3954832501401963,46.01
P168,0.4383948338528523,0.6880531944680077,36.28
P169,0.41475473092141946,0.75427516109867,45.01
P170,0.2739023539069205,0.7313512270281894,62.55
P172,0.3937665555444636,0.7965358050218412,50.57
P173,0.3720144316162144,0.6572180655130981,43.4
P174,0.43704300148356123,0.6705588551145154,34.82
P175,0.35329336249871013,0.7447667203801687,52.56
P176,0.1997738832230423,0.6246676611871558,68.02
P177,0.014791125891098574,0.36881686581494566,95.99
P178,0.38667195481971856,0.7118538829252109,45.68
P181,0.3231356334574396,0.6897449124033248,53.15
P182,0.4253506806259517,0.6517307643661097,34.74
P183,0.41428723244246823,0.7465346074375607,44.51
P184,0.31863379100394595,0.6902808141688795,53.84
P186,0.33296055785398315,0.594158460118325,43.96
P187,0.23331667029257566,0.5056611996250723,53.86
P188,0.28839875560964856,0.6026704131975058,52.15
P189,0.49572442498805963,0.5617755102558312,11.76
P191,0.31006844204254813,0.6678707751941625,53.57
P193,0.3696659387736659,0.754931327961699,51.03
P194,0.41338460247337144,0.7754018900124215,46.69
P195,0.3146757499870222,0.5855412338899783,46.26
P196,0.23014754367737705,0.6056540886831634,62.0
P197,0.3764008032691266,0.8077582392549199,53.4
P198,0.3505985130702346,0.362989423214114,3.41
P199,0.3227582413417255,0.5692646295400169,43.3
P200,0.2844398888868134,0.30894959547147105,7.93
P201,0.2324098803491617,0.48828367817828255,52.4
P202,0.38675005206730967,0.7799790043547455,50.42
P203,0.36020421274839576,0.5655597007548328,36.31
P204,0.32748356689390967,0.7970837527892591,58.91
P205,0.4488160940875989,0.7317234247098303,38.66
P207,0.2831811983938809,0.6500509283720876,56.44
P209,0.4469604050267063,0.7934432414261755,43.67
P210,0.3264367667910255,0.6113242946769697,46.6
P211,0.27273853121716657,0.532475578809301,48.78
P212,0.3581880398000514,0.7432219941371114,51.81
P213,0.33210456912622344,0.6114934077159164,45.69
P214,0.4500287607768885,0.6572261842508802,31.53
P216,0.04345338915387426,0.10419698103465988,58.3
P218,0.28135741736765363,0.5823122266868848,51.68
P219,0.3189158783310082,0.41763759807673095,23.64
P220,0.26936198312260634,0.6124074278357876,56.02
P224,0.22610664335626357,0.2965588999162431,23.76
P225,0.41190892288587666,0.6663667606823085,38.19
P226,0.3395792666556269,0.6629602758364435,48.78
P227,0.2742308301636436,0.6717993630862324,59.18
P228,0.3549567839689209,0.797245748443321,55.48
P229,0.304715186628287,0.3648323890061287,16.48
P230,0.30128249389090067,0.5628530423075715,46.47
P231,0.3217647319732781,0.4665323075655574,31.03
P233,0.0286078877412105,0.4307135528657833,93.36
P234,0.3814188184435078,0.6677916287850711,42.88
P235,0.31804137198032617,0.4789760874702831,33.6
P237,0.32088809231572724,0.6590669484675085,51.31
P238,0.2661231380425848,0.5340760255322002,50.17
P239,0.26950968878763976,0.3464879915224649,22.22
P240,0.4292719366622988,0.7168716880840769,40.12
P241,0.3887416264554603,0.7570273178078708,48.65
P243,0.37878612738665507,0.7991193959963533,52.6
P244,0.31776229607641154,0.6815984779850123,53.38
P245,0.12177484948490402,0.19864775916966537,38.7
P247,0.10579280864418594,0.5068830297044004,79.13
P249,0.2969332169039641,0.6495294581648353,54.28
