,Avg Filter HL,Avg Noise HL,Improv HL
P195,0.045058350248182444,0.2972548495543657,84.84
P196,0.07647699011965065,0.32998161368173123,76.82
P197,0.0784668826734891,0.3883380181889279,79.79
P198,0.060317372214888317,0.07082936325376347,14.84
P199,0.06464121476725808,0.24834438554763735,73.97
P200,0.09992502896935389,0.13158465895469007,24.06
P201,0.0675171171420563,0.259612454512759,73.99
P202,0.04374524971531354,0.18366947651004334,76.18
P203,0.052815439151183544,0.2752296217316505,80.81
P204,0.05515197929124965,0.3462286868363935,84.07
P205,0.012782059517440037,0.1998619979416174,93.6
P207,0.09769589169178536,0.28245407867045913,65.41
P209,0.03177878114630525,0.3125843305065047,89.83
P210,0.026195456325914662,0.21068640301647082,87.57
P211,0.06712441583049795,0.2225266066985958,69.84
P212,0.09831983319303546,0.42126337265651126,76.66
P213,0.026800079109469344,0.18460345437895248,85.48
P214,0.09912122267134615,0.08220878325420052,-20.57
P216,0.03558729168586263,0.030690566872366622,-15.96
P218,0.02977744332510108,0.15175108840813548,80.38
P219,0.09235012100405945,0.11000834083054478,16.05
P220,0.02364750492232876,0.12491245996393202,81.07
P224,0.03440017031522773,0.04119263994683443,16.49
P225,0.02006299558977747,0.23130674554519223,91.33
P226,0.05181483905328826,0.23193173152937566,77.66
P227,0.03932473503793954,0.13992435622645008,71.9
P228,0.03047172798507425,0.3138454591222454,90.29
P229,0.052742109515971414,0.07376401645944065,28.5
P230,0.02281328642503696,0.19745788802974473,88.45
P231,0.053125981809126116,0.1713985634816291,69.0
P233,0.028074404803969034,0.2080396305872087,86.51
P234,0.06119138296064386,0.28626202161583514,78.62
P235,0.041510960290294864,0.16024108902311235,74.09
P237,0.036308462206912175,0.18094316300456714,79.93
P238,0.09943287455913108,0.2490669485689494,60.08
P239,0.03900854720172924,0.06354397797944263,38.61
P240,0.0008619701932382699,0.2127484600493367,99.59
P241,0.03908277557897987,0.401577118905993,90.27
P243,0.00776206749675435,0.32677754825278993,97.62
P244,0.010251498425872321,0.14116792251095,92.74
P245,0.03501097655240327,0.04532531750742193,22.76
P247,0.031477695433901345,0.2443434442258898,87.12
P249,0.05534181093412485,0.21178660323313905,73.87
P250,0.029324240354390806,0.14510768214075245,79.79
P251,0.07626665458902247,0.35113400996721256,78.28
P252,0.03142600272155656,0.04427167800720356,29.02
P253,0.07062082539255617,0.1258100684284065,43.87
P256,0.04429294561382744,0.30786467079711466,85.61
P258,0.019028001526643936,0.2052407678756074,90.73
P260,0.051578091218047066,0.3720426225582195,86.14
P261,0.015084021662106062,0.19376043755394395,92.22
P262,0.07302935608090932,0.2791598136045101,73.84
P263,0.02853625749539934,0.1474717641000912,80.65
P264,0.020658619697185646,0.22966695059802966,91.0
P265,0.030176383688467878,0.2283215749766711,86.78
P266,0.045625827079744226,0.17622498780876467,74.11
P267,0.020219993523718945,0.15676021352438524,87.1
P268,0.04121924805117063,0.08771620053570416,53.01
P269,0.019343024948854492,0.22369791339902612,91.35
P270,0.0572092466777257,0.2302182012629836,75.15
P271,0.00031245219977851893,0.2539276317049249,99.88
P272,0.03178815227839186,0.23185334726874332,86.29
P273,0.08996257480649605,0.31140082344083986,71.11
P274,0.017248942200842002,0.3516832158659954,95.1
P275,0.038932597831574337,0.3853309297701157,89.9
P276,0.014020541753245845,0.22228098817515501,93.69
P277,0.02953576503717632,0.3339849093351769,91.16
P278,0.04275938881293635,0.16901562647777177,74.7
P279,0.024518476212602575,0.17339409480626136,85.86
P281,0.018908203705539948,0.27916362455777216,93.23
P282,0.0302319251003529,0.2386216112591163,87.33
P283,0.031017373846551826,0.19113736922769317,83.77
P284,0.03442142955211273,0.11063240934285275,68.89
P285,0.049402237133291074,0.31109229093239354,84.12
P286,0.03470245142714846,0.24256462680927962,85.69
P288,0.06193473230235979,0.2920935272663512,78.8
P289,0.00998244594133325,0.23495508194809564,95.75
P291,0.11646095260487406,0.22909399152945606,49.16
P292,0.0380787718575377,0.30445546409428237,87.49
P293,0.042687045024731425,0.13393224803756823,68.13
P295,0.11353406394617085,0.15788968554462796,28.09
P296,0.0014993765566038123,0.2285921610993007,99.34
