Program,Pvalue,Avalue,Mag
P495,1.0,0.5,negligible
P496,0.04,0.41,small
P497,0.34,0.48,negligible
P498,0.34,0.48,negligible
P499,0.34,0.48,negligible
P5,0.34,0.48,negligible
P50,0.04,0.41,small
P501,0.34,0.48,negligible
P505,0.34,0.48,negligible
P506,0.08,0.43,negligible
P507,0.08,0.43,negligible
P509,1.0,0.5,negligible
P510,1.0,0.5,negligible
P511,0.02,0.39,small
P512,0.04,0.41,small
P513,0.04,0.41,small
P514,0.08,0.43,negligible
P516,0.04,0.41,small
P517,0.08,0.43,negligible
P52,0.02,0.39,small
P520,0.34,0.48,negligible
P522,0.34,0.48,negligible
P523,0.0,0.17,large
P524,1.0,0.5,negligible
P525,0.0,0.35,small
P527,0.16,0.46,negligible
P528,0.34,0.48,negligible
P529,0.34,0.48,negligible
P530,0.0,0.3,medium
P531,0.34,0.48,negligible
P532,0.04,0.41,small
P534,0.34,0.48,negligible
P535,0.34,0.48,negligible
P536,1.0,0.5,negligible
P538,0.0,0.35,small
P540,0.34,0.48,negligible
P541,1.0,0.5,negligible
P543,1.0,0.5,negligible
P544,0.34,0.48,negligible
P546,0.34,0.48,negligible
P547,0.08,0.43,negligible
P55,1.0,0.5,negligible
P553,0.01,0.37,small
P555,0.0,0.35,small
P556,1.0,0.5,negligible
P557,1.0,0.5,negligible
P558,0.02,0.39,small
P559,0.34,0.48,negligible
P56,0.16,0.46,negligible
P560,0.0,0.28,medium
P561,1.0,0.5,negligible
P563,0.34,0.48,negligible
P564,0.04,0.41,small
P565,0.01,0.37,small
P566,0.34,0.48,negligible
P568,0.34,0.48,negligible
P569,0.34,0.48,negligible
P57,1.0,0.5,negligible
P570,0.16,0.46,negligible
P571,0.16,0.46,negligible
P572,0.02,0.39,small
P573,0.34,0.48,negligible
P575,1.0,0.5,negligible
P576,0.34,0.48,negligible
P577,1.0,0.5,negligible
P578,1.0,0.5,negligible
P580,1.0,0.5,negligible
P583,1.0,0.5,negligible
P584,1.0,0.5,negligible
P585,0.0,0.33,medium
P586,1.0,0.5,negligible
P587,1.0,0.5,negligible
P588,0.34,0.48,negligible
P589,1.0,0.5,negligible
P59,0.34,0.48,negligible
P590,0.34,0.48,negligible
P591,0.04,0.41,small
P592,0.0,0.35,small
P593,1.0,0.5,negligible
P594,1.0,0.5,negligible
P595,1.0,0.5,negligible
P596,0.34,0.48,negligible
P597,0.08,0.43,negligible
P598,0.02,0.39,small
P599,0.02,0.39,small
P6,1.0,0.5,negligible
P60,0.16,0.46,negligible
P600,0.04,0.41,small
P601,0.34,0.48,negligible
P603,0.16,0.46,negligible
P604,1.0,0.5,negligible
P605,0.08,0.43,negligible
P606,0.16,0.46,negligible
P607,0.34,0.48,negligible
P608,1.0,0.5,negligible
P609,0.04,0.41,small
P610,0.08,0.43,negligible
P611,1.0,0.5,negligible
P613,1.0,0.5,negligible
P614,1.0,0.5,negligible
P615,1.0,0.5,negligible
P616,0.01,0.37,small
P617,1.0,0.5,negligible
P618,1.0,0.5,negligible
P619,0.08,0.43,negligible
P62,0.34,0.48,negligible
P620,0.01,0.37,small
P621,0.34,0.48,negligible
P622,0.08,0.43,negligible
P623,0.04,0.41,small
P624,0.02,0.39,small
P625,0.34,0.48,negligible
P627,0.16,0.46,negligible
P628,0.08,0.43,negligible
P63,0.01,0.37,small
P630,0.34,0.48,negligible
P631,1.0,0.5,negligible
P632,0.16,0.46,negligible
P633,0.08,0.43,negligible
P634,0.16,0.46,negligible
P635,0.02,0.39,small
P637,0.04,0.41,small
P638,0.34,0.48,negligible
P64,0.0,0.35,small
P640,1.0,0.5,negligible
P641,1.0,0.5,negligible
P642,0.01,0.37,small
P643,0.01,0.37,small
P645,0.01,0.37,small
P646,0.04,0.41,small
P647,0.34,0.48,negligible
P648,0.01,0.37,small
P649,1.0,0.5,negligible
P65,0.34,0.48,negligible
P650,0.16,0.46,negligible
P651,0.16,0.46,negligible
P654,0.08,0.43,negligible
P655,1.0,0.5,negligible
P656,0.16,0.46,negligible
P657,1.0,0.5,negligible
P658,0.01,0.37,small
P659,0.08,0.43,negligible
P660,0.08,0.43,negligible
P662,0.08,0.43,negligible
P663,0.02,0.39,small
P664,0.16,0.46,negligible
P665,0.34,0.48,negligible
P666,1.0,0.5,negligible
P667,1.0,0.5,negligible
P668,0.08,0.43,negligible
P669,0.34,0.48,negligible
P67,1.0,0.5,negligible
P671,1.0,0.5,negligible
P672,0.08,0.43,negligible
P674,0.16,0.46,negligible
P675,1.0,0.5,negligible
P676,0.34,0.48,negligible
P677,0.0,0.35,small
P678,0.04,0.41,small
P679,0.0,0.26,large
P68,1.0,0.5,negligible
P680,0.34,0.48,negligible
P681,1.0,0.5,negligible
P682,0.04,0.41,small
P683,0.0,0.35,small
P684,0.34,0.48,negligible
P685,0.08,0.43,negligible
P686,1.0,0.5,negligible
P688,0.16,0.46,negligible
P689,0.02,0.39,small
P690,0.34,0.48,negligible
P693,1.0,0.5,negligible
P694,0.34,0.48,negligible
P695,0.34,0.48,negligible
P696,0.34,0.48,negligible
P697,0.16,0.46,negligible
P698,0.02,0.39,small
P699,0.34,0.48,negligible
P7,1.0,0.5,negligible
P700,0.04,0.41,small
P701,0.16,0.46,negligible
P702,1.0,0.5,negligible
P703,0.34,0.48,negligible
P704,0.34,0.48,negligible
P705,0.08,0.43,negligible
P706,0.0,0.35,small
P707,1.0,0.5,negligible
P708,1.0,0.5,negligible
P709,1.0,0.5,negligible
P71,0.34,0.48,negligible
P710,0.02,0.39,small
P711,0.0,0.33,medium
P712,0.01,0.37,small
P713,0.34,0.48,negligible
P714,0.0,0.26,large
P715,0.08,0.43,negligible
P716,0.34,0.48,negligible
P717,0.04,0.41,small
P718,0.34,0.48,negligible
P719,0.01,0.37,small
P72,0.08,0.43,negligible
P722,0.01,0.37,small
P724,1.0,0.5,negligible
P725,0.34,0.48,negligible
P726,0.16,0.46,negligible
P728,0.16,0.46,negligible
P729,1.0,0.5,negligible
P730,0.34,0.48,negligible
P731,1.0,0.5,negligible
P732,0.0,0.24,large
P733,1.0,0.5,negligible
P734,0.01,0.37,small
P736,1.0,0.5,negligible
P737,0.34,0.48,negligible
P738,0.0,0.35,small
P739,1.0,0.5,negligible
P74,0.02,0.39,small
P740,0.01,0.37,small
P741,0.34,0.48,negligible
P742,1.0,0.5,negligible
P744,0.08,0.43,negligible
P745,1.0,0.5,negligible
P746,0.34,0.48,negligible
P748,1.0,0.5,negligible
P749,1.0,0.5,negligible
P750,0.34,0.48,negligible
P751,0.02,0.39,small
P752,0.01,0.37,small
P753,0.34,0.48,negligible
P754,1.0,0.5,negligible
P755,0.34,0.48,negligible
P756,0.34,0.48,negligible
P757,1.0,0.5,negligible
P758,0.08,0.43,negligible
P759,0.01,0.37,small
P760,0.34,0.48,negligible
P761,0.08,0.43,negligible
P762,0.16,0.46,negligible
P763,1.0,0.5,negligible
P764,0.08,0.43,negligible
P765,0.01,0.37,small
P766,0.34,0.48,negligible
P768,0.01,0.37,small
P769,1.0,0.5,negligible
P77,0.16,0.46,negligible
P770,1.0,0.5,negligible
P771,1.0,0.5,negligible
P773,1.0,0.5,negligible
P774,1.0,0.5,negligible
P775,0.34,0.48,negligible
P776,0.02,0.39,small
P777,0.34,0.48,negligible
P778,0.34,0.48,negligible
P779,0.34,0.48,negligible
P780,0.0,0.35,small
P781,0.02,0.39,small
P783,1.0,0.5,negligible
P784,0.08,0.43,negligible
P785,0.04,0.41,small
P787,0.02,0.39,small
P788,1.0,0.5,negligible
P789,0.04,0.41,small
P79,1.0,0.5,negligible
P790,0.08,0.43,negligible
P791,0.34,0.48,negligible
P793,1.0,0.5,negligible
P796,1.0,0.5,negligible
P797,0.16,0.46,negligible
P798,1.0,0.5,negligible
P799,0.08,0.43,negligible
P8,0.0,0.35,small
P80,1.0,0.5,negligible
P800,0.34,0.48,negligible
P801,0.34,0.48,negligible
P802,0.34,0.48,negligible
P803,0.04,0.41,small
P804,1.0,0.5,negligible
P805,0.34,0.48,negligible
P806,0.16,0.46,negligible
P807,1.0,0.5,negligible
P809,0.01,0.37,small
P810,1.0,0.5,negligible
P813,1.0,0.5,negligible
P815,0.34,0.48,negligible
P817,0.08,0.43,negligible
P818,1.0,0.5,negligible
P819,0.0,0.35,small
P82,0.34,0.48,negligible
P822,0.16,0.46,negligible
P824,1.0,0.5,negligible
P825,1.0,0.5,negligible
P826,1.0,0.5,negligible
P828,0.08,0.43,negligible
P829,0.34,0.48,negligible
P83,1.0,0.5,negligible
P831,1.0,0.5,negligible
P833,1.0,0.5,negligible
P834,1.0,0.5,negligible
P836,0.04,0.41,small
P838,1.0,0.5,negligible
P839,0.0,0.35,small
P840,1.0,0.5,negligible
P841,1.0,0.5,negligible
P842,1.0,0.5,negligible
P843,0.16,0.46,negligible
P844,0.08,0.43,negligible
P846,1.0,0.5,negligible
P847,0.08,0.43,negligible
P848,0.34,0.48,negligible
P849,0.34,0.48,negligible
P85,0.0,0.35,small
P851,0.08,0.43,negligible
P852,0.16,0.46,negligible
P853,0.34,0.48,negligible
P854,0.16,0.46,negligible
P855,0.34,0.48,negligible
P857,1.0,0.5,negligible
P86,1.0,0.5,negligible
P860,0.04,0.41,small
P861,1.0,0.5,negligible
P862,1.0,0.5,negligible
P863,1.0,0.5,negligible
P864,0.16,0.46,negligible
P865,1.0,0.5,negligible
P866,1.0,0.5,negligible
P867,1.0,0.5,negligible
P869,1.0,0.5,negligible
P87,0.0,0.3,medium
P870,0.34,0.48,negligible
P871,0.04,0.41,small
P872,0.34,0.48,negligible
P873,1.0,0.5,negligible
P875,1.0,0.5,negligible
P876,1.0,0.5,negligible
P877,0.34,0.48,negligible
P878,1.0,0.5,negligible
P880,0.02,0.39,small
P881,0.08,0.43,negligible
P882,1.0,0.5,negligible
P883,0.02,0.39,small
P884,1.0,0.5,negligible
P885,1.0,0.5,negligible
P886,1.0,0.5,negligible
P887,0.0,0.35,small
P888,0.16,0.46,negligible
P889,1.0,0.5,negligible
P89,1.0,0.5,negligible
P890,1.0,0.5,negligible
P893,0.34,0.48,negligible
P894,1.0,0.5,negligible
P895,0.0,0.35,small
P896,0.08,0.43,negligible
P897,0.01,0.37,small
P898,1.0,0.5,negligible
P9,1.0,0.5,negligible
P900,0.04,0.41,small
P901,1.0,0.5,negligible
P903,0.34,0.48,negligible
P904,0.04,0.41,small
P905,1.0,0.5,negligible
P906,1.0,0.5,negligible
P907,0.0,0.35,small
P908,0.34,0.48,negligible
P909,0.08,0.43,negligible
P91,0.34,0.48,negligible
P910,1.0,0.5,negligible
P912,0.04,0.41,small
P913,0.34,0.48,negligible
P914,0.04,0.41,small
P915,1.0,0.5,negligible
P916,1.0,0.5,negligible
P919,0.08,0.43,negligible
P92,0.02,0.39,small
P920,1.0,0.5,negligible
P921,1.0,0.5,negligible
P923,1.0,0.5,negligible
P925,0.02,0.39,small
P926,0.04,0.41,small
P927,0.34,0.48,negligible
P928,1.0,0.5,negligible
P93,0.16,0.46,negligible
P930,1.0,0.5,negligible
P932,0.34,0.48,negligible
P933,1.0,0.5,negligible
P934,1.0,0.5,negligible
P935,0.34,0.48,negligible
P936,0.0,0.33,medium
P937,0.34,0.48,negligible
P938,1.0,0.5,negligible
P939,0.04,0.41,small
P94,0.16,0.46,negligible
P940,1.0,0.5,negligible
P941,1.0,0.5,negligible
P942,0.34,0.48,negligible
P943,0.01,0.37,small
P944,0.34,0.48,negligible
P945,0.16,0.46,negligible
P948,0.08,0.43,negligible
P949,0.34,0.48,negligible
P95,0.02,0.39,small
P950,0.0,0.26,large
P952,0.02,0.39,small
P953,0.34,0.48,negligible
P954,0.01,0.37,small
P955,0.01,0.37,small
P956,1.0,0.5,negligible
P957,0.02,0.39,small
P96,0.08,0.43,negligible
P960,0.34,0.48,negligible
P961,0.34,0.48,negligible
P962,1.0,0.5,negligible
P963,0.04,0.41,small
P964,0.34,0.48,negligible
P966,0.34,0.48,negligible
P967,1.0,0.5,negligible
P968,0.04,0.41,small
P970,0.34,0.48,negligible
P972,1.0,0.5,negligible
P973,0.04,0.41,small
P974,0.34,0.48,negligible
