,Avg Filter HL,Avg Noise HL,Improv HL
P87,0.2912475770308761,0.5230270491522152,44.32
P89,0.4638039774645654,0.6517438382496222,28.84
P91,0.3649945986169523,0.6476134285378977,43.64
P92,0.43753675110595724,0.7085544012184738,38.25
P93,0.005802639467418376,0.2942020418453821,98.03
P94,0.19932111340119624,0.5981732122892597,66.68
P95,0.16444524794939883,0.39091955307664833,57.93
P96,0.026074740083091148,0.34260123834573475,92.39
P98,0.4917959829936985,0.5994754335088543,17.96
P99,0.27488728484552,0.6672942330645981,58.81
P100,0.208202979285987,0.6298250751484125,66.94
P101,0.20308604386927784,0.4539018141867181,55.26
P102,0.22315820259549526,0.5939769448551692,62.43
P103,0.308891400496304,0.6534537407751898,52.73
P104,0.04815974018080593,0.19025723356865606,74.69
P105,0.37669194219757957,0.6392151087136412,41.07
P106,0.39428617477700306,0.5909331919256553,33.28
P107,0.06705020995998318,0.0687457605332723,2.47
P109,0.28700745953792345,0.49438507457473213,41.95
P111,0.2365818909554694,0.5898208512786887,59.89
P112,0.18642847990831987,0.45374403633856536,58.91
P113,0.058741338409608435,0.19090182588384844,69.23
P114,0.3365502522978769,0.5053252803503362,33.4
P115,0.28362221451630487,0.305120529337887,7.05
P116,0.38915688081415845,0.48442178812931835,19.67
P117,0.43827320290334415,0.7160506116124765,38.79
P118,0.21988487574333915,0.864644128038696,74.57
P119,0.27503981040298126,0.6603797171691237,58.35
P120,0.3442361795424613,0.7223001660648498,52.34
P122,0.2957911770869196,0.3814881848775481,22.46
P123,0.2738229017935109,0.5406306696743622,49.35
P124,0.22980439616283027,0.633630603988051,63.73
P125,0.2996499325585333,0.6541945844547119,54.2
P127,0.3443940386926617,0.7185996655273811,52.07
P128,0.19073987142346235,0.5218988829563748,63.45
P129,0.3778310088466982,0.7106592128647874,46.83
P130,0.14664132740616925,0.17611746560969932,16.74
P131,0.48797121899615453,0.6384965834165939,23.57
P132,0.042085682852989574,0.06888986009371732,38.91
P133,0.015573134699074296,0.2892464321697978,94.62
P134,0.24895813254167193,0.27769675251221076,10.35
P135,0.19038420263981498,0.5609573463464328,66.06
P136,0.380064428472837,0.7501347691049064,49.33
P137,0.11657325009583282,0.1698908509798019,31.38
P138,0.018957305104264768,0.1562648544884017,87.87
P139,0.29121727773959366,0.6374606860732305,54.32
P141,0.36384407745695635,0.8044518814280429,54.77
P144,0.3650257891048943,0.5531331872630108,34.01
P145,0.4839275133212429,0.7143058832490528,32.25
P146,0.1269721809932188,0.1471135311059009,13.69
P147,0.19213901030292918,0.48235744393876967,60.17
P148,0.2995763787332111,0.620902794726862,51.75
P149,0.33203339058708226,0.8606019504022466,61.42
P150,0.28906126949352606,0.6175195866394448,53.19
P152,0.16061392645750208,0.35496215929560965,54.75
P153,0.0436332979972852,0.2796676481031478,84.4
P154,0.39058890356249687,0.6490114549635091,39.82
P155,0.40177093759195476,0.39409700605853526,-1.95
P156,0.07975063295788214,0.28473812499447726,71.99
P157,0.2784226283593908,0.6406400183852172,56.54
P158,0.3250611447808809,0.7314711037913296,55.56
P159,0.4359005288150189,0.6498288091500932,32.92
P160,0.30064153154977163,0.47721989987648267,37.0
P161,0.3958620858023161,0.7803844060919772,49.27
P162,0.23212228545484412,0.6368022501640311,63.55
P163,0.05471458166423956,0.0697248433399266,21.53
P164,0.17198746461880382,0.570277865502134,69.84
P167,0.3520849670129584,0.519399243944177,32.21
P168,0.3330617664383179,0.6754555584359755,50.69
P169,0.40453026362818933,0.7395059984216671,45.3
P170,0.23018321990977725,0.681397116064293,66.22
P172,0.4065977219057034,0.7634214160311424,46.74
P173,0.2588752461468378,0.6994408247021928,62.99
P174,0.3625980393574227,0.739745880678166,50.98
P175,0.3824120187818948,0.7382344283694294,48.2
P176,0.12127644982292488,0.22900270026372413,47.04
P177,0.3050332958349669,0.5799957648185954,47.41
P178,0.2179991515637746,0.6512606975457961,66.53
P181,0.24951053088798347,0.6425502664281112,61.17
P182,0.35963247972816237,0.7347140676655075,51.05
P183,0.3609025233534415,0.8273228736361846,56.38
P184,0.349777613637717,0.6503444063902863,46.22
P186,0.48182744055687626,0.6707114392821258,28.16
P187,0.22545001308004023,0.4414967506124201,48.94
P188,0.2808000931987616,0.6514050737315665,56.89
P189,0.5243462621381861,0.5656943845328526,7.31
P191,0.26278706852051564,0.6282653122761942,58.17
P193,0.3176728154386265,0.7633563288778642,58.38
P194,0.386255183071517,0.7642933782333131,49.46
P195,0.2891697549976907,0.5811094555645816,50.24
P196,0.3003109180005575,0.6424185411786772,53.25
P197,0.3609794765157455,0.6775663577924673,46.72
P198,0.3087003870809576,0.3569121605830815,13.51
P199,0.3395467311543097,0.5896091800369151,42.41
P200,0.16069863874356255,0.1564623638913591,-2.71
P201,0.10742672431009366,0.2777534015390783,61.32
P202,0.4455270760103258,0.6478202218974631,31.23
P203,0.041874449496718626,0.2617957678686152,84.0
P204,0.3680291847102969,0.6458225944257909,43.01
P205,0.4203338558620101,0.7231232585685267,41.87
P207,0.1425168995043423,0.38587862891810687,63.07
P209,0.3651292804955123,0.7756236381991692,52.92
P210,0.3329559448095788,0.6603800675048664,49.58
P211,0.25584583297698144,0.5309033672020317,51.81
P212,0.37712383241627473,0.7178161148244947,47.46
P213,0.28409503122471375,0.6515116324908473,56.39
P214,0.48636341206948913,0.4991962260690406,2.57
P216,0.040757175935816556,0.06730433379350644,39.44
P218,0.28279113963259467,0.6210380097416875,54.46
P219,0.05959562298166522,0.09651819494153482,38.25
P220,0.2442959017904982,0.6311163621153625,61.29
P224,0.1974766495378686,0.28804472759212224,31.44
P225,0.362337620947453,0.6491921906467383,44.19
P226,0.3997908430854381,0.673134565782173,40.61
P227,0.26045066811451584,0.6451076565347081,59.63
P228,0.3195634845325262,0.692837028249646,53.88
P229,0.3130381689759742,0.3819124518113935,18.03
P230,0.07160452695930607,0.26633762190645577,73.12
P231,0.2716409631563129,0.39473891102503406,31.18
P233,0.04266687215136925,0.42127887227423155,89.87
P234,0.41430497510047865,0.7235556678130487,42.74
P235,0.3962478287342025,0.5627935419635463,29.59
P237,0.30432396465533024,0.6455014170474637,52.85
P238,0.24924939007326177,0.5270193910516034,52.71
P239,0.2061429771731895,0.2687186993510264,23.29
P240,0.4170627979221551,0.7781022798557854,46.4
P241,0.3470342793635954,0.7545889475185934,54.01
P243,0.3797196487470647,0.7961265019788141,52.3
P244,0.0143816886389222,0.23629933323283753,93.91
P245,0.11572246549173762,0.15845102075243905,26.97
P247,0.04198352187491102,0.3834636730933462,89.05
P249,0.319702239852978,0.6480991245672436,50.67
P250,0.3352147820434695,0.632072524832482,46.97
P251,0.4084132197334128,0.8392527379832219,51.34
P252,0.03486452530570252,0.05357672789874389,34.93
P253,0.08177018157782444,0.1361456953582923,39.94
P256,0.3797501778738176,0.8395173612365862,54.77
P258,0.3179618385864571,0.6430393415647181,50.55
P260,0.320768973802668,0.6591243116832685,51.33
P261,0.27348330539308635,0.6287612831225731,56.5
P262,0.2786286090297229,0.632823358215589,55.97
P263,0.030205289299782757,0.18647586909246897,83.8
P264,0.36331567632088896,0.8578413742747356,57.65
P265,0.35732007110840935,0.6746486888248514,47.04
P266,0.44730071396427185,0.6524558524454909,31.44
P267,0.3025520738986624,0.6275848611249606,51.79
P268,0.056339588404846305,0.1039956717089068,45.83
P269,0.28626889077229534,0.6495248826987423,55.93
P270,0.38416775141360177,0.5094887940009357,24.6
P271,0.29255844843285495,0.5679790237387816,48.49
P272,0.4105757402965699,0.7951239885323833,48.36
P273,0.36371501181888644,0.7068415114851304,48.54
P274,0.20954806198786446,0.5779733829268424,63.74
P275,0.4052576925062064,0.7774737521343821,47.88
P276,0.36740546545935177,0.7941667082366698,53.74
P277,0.3986392294728641,0.8022997595287779,50.31
P278,0.42076718709158517,0.7165132113566159,41.28
P279,0.02776704545082041,0.21579058571973248,87.13
P281,0.2441080506846598,0.5240037765939517,53.41
P282,0.39431859539357894,0.6672666664130181,40.91
P283,0.3253841281928357,0.6157509534650979,47.16
P284,0.3295190696144462,0.6324845903752918,47.9
P285,0.32861873850914286,0.7297096234314824,54.97
P286,0.2941806316957373,0.7442116684406831,60.47
P288,0.41633406541707674,0.7342635714493518,43.3
P289,0.02422510441504492,0.29508753322533154,91.79
P291,0.5428530997917111,0.6679679188374046,18.73
P292,0.3027806701882912,0.6355229600462081,52.36
P293,0.23563239935840438,0.4157818442713816,43.33
P295,0.07077952822398222,0.11510581743120517,38.51
P296,0.4168664708744733,0.8168256725044662,48.97
P297,0.3563777366793762,0.6500820650160187,45.18
P298,0.08647998134585987,0.23302616125014414,62.89
P299,0.17357466863254387,0.600244996566871,71.08
P300,0.1361510536114773,0.30452406523085657,55.29
P301,0.4734257381785728,0.7787673547332066,39.21
P302,0.25859563044657535,0.59174791788853,56.3
P303,0.2595232496053334,0.5254102437718766,50.61
P305,0.44088418040311855,0.541798030796583,18.63
P306,0.35164035380880465,0.6791874617387991,48.23
P308,0.3569672178541398,0.405730323941738,12.02
